FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeFormPoints,AwayFormPoints,HTWStreak3,HTWStreak5,HTLStreak3,HTLStreak5,ATWStreak3,ATWStreak5,ATLStreak3,ATLStreak5,HTGD,ATGD,PointsDiff,FormPointsDiff,HomeH2HStadiumPts,HomeH2HPts
NH,1.7142857142857142,0.2857142857142857,W,L,L,D,L,L,1.8,0.2,0,0,0,0,0,0,0,0,0.7142857142857143,-1.5714285714285714,1.4285714285714286,1.6,0,0
H,2.0,2.5714285714285716,W,W,W,W,W,W,2.6,3.0,1,0,0,0,1,1,0,0,1.0,1.8571428571428572,-0.5714285714285714,-0.4,0,0
H,2.0,0.5,W,W,W,L,L,L,3.0,0.2,1,1,0,0,0,0,1,0,1.125,-0.75,1.5,2.8,0,0
H,1.0,0.875,D,W,L,L,L,L,1.6,0.2,0,0,0,0,0,0,1,0,-0.625,-0.875,0.125,1.4,0,0
H,1.625,1.0,W,L,L,D,L,W,1.4,1.4,0,0,0,0,0,0,0,0,0.375,-0.375,0.625,0.0,0,0
NH,1.375,0.5,D,W,W,D,L,L,2.2,0.2,0,0,0,0,0,0,0,0,0.375,-1.125,0.875,2.0,0,0
NH,2.25,1.75,L,W,W,D,L,W,2.4,2.0,0,0,0,0,0,0,0,0,1.375,0.75,0.5,0.4,0,0
H,0.375,0.25,D,D,L,D,L,L,0.4,0.4,0,0,0,0,0,0,0,0,-1.375,-0.875,0.125,0.0,0,0
NH,1.125,2.125,D,D,W,W,W,W,1.2,2.6,0,0,0,0,1,0,0,0,0.125,1.125,-1.0,-1.4,0,0
NH,0.75,1.0,D,L,L,D,L,W,0.4,1.4,0,0,0,0,0,0,0,0,-0.375,-0.125,-0.25,-1.0,0,0
H,1.125,0.875,D,W,W,L,W,L,1.6,0.8,0,0,0,0,0,0,0,0,0.125,-0.5,0.25,0.8,0,0
NH,2.0,1.625,W,W,W,D,W,L,2.6,1.4,1,0,0,0,0,0,0,0,1.0,0.625,0.375,1.2,0,0
NH,2.111111111111111,0.6666666666666666,W,W,W,L,D,L,3.0,0.2,1,1,0,0,0,0,0,0,1.1111111111111112,-0.4444444444444444,1.4444444444444444,2.8,0,0
NH,1.2222222222222223,2.0,W,D,W,D,W,W,2.0,2.6,0,0,0,0,0,0,0,0,0.0,1.0,-0.7777777777777778,-0.6,0,0
H,0.7777777777777778,1.6666666666666667,L,L,W,D,D,L,0.8,1.6,0,0,0,0,0,0,0,0,-0.6666666666666666,0.6666666666666666,-0.8888888888888888,-0.8,0,0
NH,0.7777777777777778,0.6666666666666666,L,L,L,W,D,D,0.2,1.0,0,0,1,0,0,0,0,0,-1.3333333333333333,-1.0,0.1111111111111111,-0.8,0,0
H,0.8888888888888888,1.2222222222222223,L,D,L,L,D,W,0.8,2.0,0,0,0,0,0,0,0,0,-0.6666666666666666,0.2222222222222222,-0.3333333333333333,-1.2,0,0
H,1.8888888888888888,1.1111111111111112,D,W,W,D,D,D,2.6,1.2,0,0,0,0,0,0,0,0,0.8888888888888888,0.1111111111111111,0.7777777777777778,1.4,0,0
NH,0.4444444444444444,1.2222222222222223,L,L,L,W,D,L,0.2,2.0,0,0,1,0,0,0,0,0,-0.7777777777777778,0.0,-0.7777777777777778,-1.8,0,0
H,0.7777777777777778,0.2222222222222222,W,D,L,L,D,L,0.8,0.2,0,0,0,0,0,0,0,0,-0.8888888888888888,-1.0,0.5555555555555556,0.6,0,0
H,1.7777777777777777,1.5555555555555556,W,W,L,D,D,W,1.4,1.0,0,0,0,0,0,0,0,0,0.6666666666666666,0.5555555555555556,0.2222222222222222,0.4,0,0
NH,2.111111111111111,1.3333333333333333,D,L,W,W,D,W,2.0,2.0,0,0,0,0,0,0,0,0,1.2222222222222223,0.3333333333333333,0.7777777777777778,0.0,0,0
NH,1.1,2.0,L,L,D,W,D,W,1.4,2.6,0,0,0,0,0,0,0,0,0.0,0.9,-0.9,-1.2,0,0
NH,1.4,1.0,L,D,D,W,L,L,1.0,1.2,0,0,0,0,0,0,0,0,0.1,-0.5,0.4,-0.2,0,0
H,0.7,1.2,D,L,D,D,W,D,0.4,1.6,0,0,0,0,0,0,0,0,-0.4,0.0,-0.5,-1.2,0,0
NH,0.2,2.0,L,L,D,D,W,W,0.2,2.6,0,0,0,0,0,0,0,0,-1.0,1.0,-1.8,-2.4,0,0
NH,1.9,1.1,D,D,W,W,L,D,2.2,1.4,0,0,0,0,0,0,0,0,0.9,-0.4,0.8,0.8,0,0
H,1.2,0.7,D,W,D,L,L,L,1.6,0.0,0,0,0,0,0,0,1,1,0.0,-1.4,0.5,1.6,0,0
NH,1.0,2.0,L,D,D,D,D,L,1.2,1.6,0,0,0,0,0,0,0,0,0.0,1.1,-1.0,-0.4,0,0
H,1.5,1.0,L,D,D,W,W,D,1.0,1.4,0,0,0,0,0,0,0,0,0.5,-0.7,0.5,-0.4,0,0
